,day,hour,waves_size,wind_speed,wind_direction
137,Mercredi 14 Janvier,18:00,2.2 - 3.3,\n18\n\n,Orientation vent Sud Ouest
138,Mercredi 14 Janvier,19:00,2.2 - 3.2,\n20\n\n,Orientation vent Sud Ouest
139,Mercredi 14 Janvier,20:00,2.1 - 3.2,\n18\n\n,Orientation vent Sud Ouest
140,Mercredi 14 Janvier,21:00,2.1 - 3.1,\n15\n\n,Orientation vent Sud Ouest
141,Mercredi 14 Janvier,22:00,2.1 - 3.1,\n12\n\n,Orientation vent Sud Ouest
142,Mercredi 14 Janvier,23:00,2.0 - 3.0,\n11\n\n,Orientation vent Sud Ouest
143,Jeudi 15 Janvier,00:00,2.0 - 3.0,\n12\n\n,Orientation vent Sud Ouest
144,Jeudi 15 Janvier,01:00,1.9 - 2.9,\n12\n\n,Orientation vent Sud Ouest
145,Jeudi 15 Janvier,02:00,1.9 - 2.8,\n13\n\n,Orientation vent Sud Ouest
146,Jeudi 15 Janvier,03:00,1.8 - 2.8,\n14\n\n,Orientation vent Sud Ouest
147,Jeudi 15 Janvier,04:00,1.8 - 2.7,\n15\n\n,Orientation vent Sud Ouest
148,Jeudi 15 Janvier,05:00,1.8 - 2.6,\n17\n\n,Orientation vent Ouest Sud Ouest
149,Jeudi 15 Janvier,06:00,1.7 - 2.6,\n19\n\n,Orientation vent Ouest Sud Ouest
150,Jeudi 15 Janvier,07:00,1.7 - 2.5,\n20\n\n,Orientation vent Ouest Sud Ouest
151,Jeudi 15 Janvier,08:00,1.6 - 2.5,\n22\n\n,Orientation vent Ouest Sud Ouest
152,Jeudi 15 Janvier,09:00,1.6 - 2.4,\n23\n\n,Orientation vent Ouest Sud Ouest
153,Jeudi 15 Janvier,10:00,1.6 - 2.4,\n25\n\n,Orientation vent Ouest Sud Ouest
154,Jeudi 15 Janvier,11:00,1.6 - 2.4,\n25\n\n,Orientation vent Ouest Sud Ouest
155,Jeudi 15 Janvier,12:00,1.6 - 2.4,\n26\n\n,Orientation vent Ouest Sud Ouest
156,Jeudi 15 Janvier,13:00,1.6 - 2.4,\n25\n\n,Orientation vent Ouest Sud Ouest
157,Jeudi 15 Janvier,14:00,1.6 - 2.4,\n23\n\n,Orientation vent Ouest Sud Ouest
158,Jeudi 15 Janvier,15:00,1.7 - 2.5,\n21\n\n,Orientation vent Ouest Sud Ouest
159,Jeudi 15 Janvier,16:00,1.7 - 2.5,\n19\n\n,Orientation vent Ouest
160,Jeudi 15 Janvier,17:00,1.7 - 2.5,\n18\n\n,Orientation vent Ouest
161,Jeudi 15 Janvier,18:00,1.7 - 2.6,\n17\n\n,Orientation vent Ouest Nord Ouest
162,Jeudi 15 Janvier,19:00,1.7 - 2.6,\n17\n\n,Orientation vent Ouest Nord Ouest
163,Jeudi 15 Janvier,20:00,1.7 - 2.6,\n18\n\n,Orientation vent Ouest Nord Ouest
164,Jeudi 15 Janvier,21:00,1.8 - 2.6,\n17\n\n,Orientation vent Ouest Nord Ouest
165,Jeudi 15 Janvier,22:00,1.8 - 2.7,\n17\n\n,Orientation vent Ouest Nord Ouest
166,Jeudi 15 Janvier,23:00,1.8 - 2.7,\n17\n\n,Orientation vent Ouest Nord Ouest
167,Vendredi 09 Janvier,00:00,N/A,N/A,N/A
168,Samedi 10 Janvier,00:00,N/A,N/A,N/A
169,Dimanche 11 Janvier,00:00,N/A,N/A,N/A
170,Lundi 12 Janvier,00:00,N/A,N/A,N/A
171,Mardi 13 Janvier,00:00,N/A,N/A,N/A
172,Mercredi 14 Janvier,00:00,N/A,N/A,N/A
173,Jeudi 15 Janvier,00:00,N/A,N/A,N/A
