,day,hour,waves_size,wind_speed,wind_direction
106,Mardi 13 Janvier,11:00,1.5 - 2.3,\n17\n\n,Orientation vent Sud Est
107,Mardi 13 Janvier,12:00,1.5 - 2.3,\n20\n\n,Orientation vent Sud Est
108,Mardi 13 Janvier,13:00,1.6 - 2.4,\n25\n\n,Orientation vent Sud
109,Mardi 13 Janvier,14:00,1.6 - 2.4,\n29\n\n,Orientation vent Sud
110,Mardi 13 Janvier,15:00,1.6 - 2.3,\n30\n\n,Orientation vent Sud
111,Mardi 13 Janvier,16:00,1.6 - 2.3,\n31\n\n,Orientation vent Sud
112,Mardi 13 Janvier,17:00,1.5 - 2.3,\n29\n\n,Orientation vent Sud
113,Mardi 13 Janvier,18:00,1.5 - 2.3,\n27\n\n,Orientation vent Sud
114,Mardi 13 Janvier,19:00,1.5 - 2.3,\n25\n\n,Orientation vent Sud
115,Mardi 13 Janvier,20:00,1.5 - 2.3,\n23\n\n,Orientation vent Sud
116,Mardi 13 Janvier,21:00,1.5 - 2.3,\n22\n\n,Orientation vent Sud
117,Mardi 13 Janvier,22:00,1.6 - 2.3,\n22\n\n,Orientation vent Sud
118,Mardi 13 Janvier,23:00,1.6 - 2.4,\n26\n\n,Orientation vent Sud
119,Mercredi 14 Janvier,00:00,1.6 - 2.4,\n31\n\n,Orientation vent Sud
120,Mercredi 14 Janvier,01:00,1.6 - 2.4,\n34\n\n,Orientation vent Sud
121,Mercredi 14 Janvier,02:00,1.6 - 2.5,\n33\n\n,Orientation vent Sud
122,Mercredi 14 Janvier,03:00,1.7 - 2.5,\n31\n\n,Orientation vent Sud Ouest
123,Mercredi 14 Janvier,04:00,1.7 - 2.5,\n29\n\n,Orientation vent Sud Ouest
124,Mercredi 14 Janvier,05:00,1.7 - 2.6,\n28\n\n,Orientation vent Sud Ouest
125,Mercredi 14 Janvier,06:00,1.7 - 2.6,\n27\n\n,Orientation vent Sud Ouest
126,Mercredi 14 Janvier,07:00,1.7 - 2.6,\n26\n\n,Orientation vent Sud Ouest
127,Mercredi 14 Janvier,08:00,1.8 - 2.6,\n25\n\n,Orientation vent Sud Ouest
128,Mercredi 14 Janvier,09:00,1.8 - 2.7,\n23\n\n,Orientation vent Sud Ouest
129,Mercredi 14 Janvier,10:00,1.8 - 2.7,\n22\n\n,Orientation vent Sud Ouest
130,Mercredi 14 Janvier,11:00,1.8 - 2.7,\n20\n\n,Orientation vent Sud Ouest
131,Mercredi 14 Janvier,12:00,1.8 - 2.7,\n19\n\n,Orientation vent Ouest Sud Ouest
132,Mercredi 14 Janvier,13:00,1.8 - 2.7,\n19\n\n,Orientation vent Ouest Sud Ouest
133,Mercredi 14 Janvier,14:00,1.8 - 2.8,\n20\n\n,Orientation vent Ouest Sud Ouest
134,Mercredi 14 Janvier,15:00,1.9 - 2.8,\n22\n\n,Orientation vent Ouest Sud Ouest
135,Mercredi 14 Janvier,16:00,1.9 - 2.8,\n23\n\n,Orientation vent Ouest Sud Ouest
136,Mercredi 14 Janvier,17:00,1.9 - 2.8,\n21\n\n,Orientation vent Ouest
137,Mercredi 14 Janvier,18:00,1.9 - 2.8,\n17\n\n,Orientation vent Ouest
138,Mercredi 14 Janvier,19:00,1.9 - 2.8,\n14\n\n,Orientation vent Ouest
139,Mercredi 14 Janvier,20:00,1.9 - 2.8,\n13\n\n,Orientation vent Ouest
140,Mercredi 14 Janvier,21:00,1.9 - 2.8,\n12\n\n,Orientation vent Ouest Sud Ouest
141,Mercredi 14 Janvier,22:00,1.8 - 2.8,\n12\n\n,Orientation vent Ouest Sud Ouest
142,Mercredi 14 Janvier,23:00,1.8 - 2.7,\n12\n\n,Orientation vent Sud Ouest
143,Jeudi 15 Janvier,00:00,1.8 - 2.6,\n12\n\n,Orientation vent Sud Ouest
144,Jeudi 15 Janvier,01:00,1.7 - 2.6,\n11\n\n,Orientation vent Sud Ouest
145,Jeudi 15 Janvier,02:00,1.7 - 2.5,\n9\n\n,Orientation vent Sud Ouest
146,Jeudi 15 Janvier,03:00,1.6 - 2.5,\n9\n\n,Orientation vent Sud
147,Jeudi 15 Janvier,04:00,1.6 - 2.4,\n9\n\n,Orientation vent Sud Est
148,Jeudi 15 Janvier,05:00,1.6 - 2.3,\n10\n\n,Orientation vent Sud Est
149,Jeudi 15 Janvier,06:00,1.5 - 2.3,\n11\n\n,Orientation vent Sud Est
150,Jeudi 15 Janvier,07:00,1.5 - 2.2,\n10\n\n,Orientation vent Sud Est
151,Jeudi 15 Janvier,08:00,1.4 - 2.1,\n7\n\n,Orientation vent Sud Est
152,Jeudi 15 Janvier,09:00,1.4 - 2.1,\n5\n\n,Orientation vent Sud Ouest
153,Jeudi 15 Janvier,10:00,1.3 - 2.0,\n9\n\n,Orientation vent Ouest Sud Ouest
154,Jeudi 15 Janvier,11:00,1.3 - 2.0,\n15\n\n,Orientation vent Ouest
155,Jeudi 15 Janvier,12:00,1.3 - 1.9,\n21\n\n,Orientation vent Ouest
156,Jeudi 15 Janvier,13:00,1.3 - 1.9,\n25\n\n,Orientation vent Ouest
157,Jeudi 15 Janvier,14:00,1.3 - 2.0,\n26\n\n,Orientation vent Ouest
158,Jeudi 15 Janvier,15:00,1.4 - 2.0,\n25\n\n,Orientation vent Ouest
159,Jeudi 15 Janvier,16:00,1.4 - 2.1,\n23\n\n,Orientation vent Ouest
160,Jeudi 15 Janvier,17:00,1.4 - 2.1,\n21\n\n,Orientation vent Ouest
161,Jeudi 15 Janvier,18:00,1.5 - 2.2,\n19\n\n,Orientation vent Ouest
162,Jeudi 15 Janvier,19:00,1.5 - 2.2,\n17\n\n,Orientation vent Ouest
163,Jeudi 15 Janvier,20:00,1.5 - 2.2,\n16\n\n,Orientation vent Ouest Nord Ouest
164,Jeudi 15 Janvier,21:00,1.5 - 2.3,\n16\n\n,Orientation vent Ouest Nord Ouest
165,Jeudi 15 Janvier,22:00,1.5 - 2.3,\n16\n\n,Orientation vent Ouest Nord Ouest
166,Jeudi 15 Janvier,23:00,1.5 - 2.3,\n15\n\n,Orientation vent Ouest Nord Ouest
167,Vendredi 09 Janvier,00:00,N/A,N/A,N/A
168,Samedi 10 Janvier,00:00,N/A,N/A,N/A
169,Dimanche 11 Janvier,00:00,N/A,N/A,N/A
170,Lundi 12 Janvier,00:00,N/A,N/A,N/A
171,Mardi 13 Janvier,00:00,N/A,N/A,N/A
172,Mercredi 14 Janvier,00:00,N/A,N/A,N/A
173,Jeudi 15 Janvier,00:00,N/A,N/A,N/A
