,day,hour,waves_size,wind_speed,wind_direction
77,Mercredi 14 Janvier,06:00,2.0 - 2.9,\n13\n\n,Orientation vent Ouest Sud Ouest
78,Mercredi 14 Janvier,07:00,2.0 - 3.0,\n15\n\n,Orientation vent Ouest Sud Ouest
79,Mercredi 14 Janvier,08:00,2.0 - 3.0,\n17\n\n,Orientation vent Ouest Sud Ouest
80,Mercredi 14 Janvier,09:00,2.0 - 3.1,\n17\n\n,Orientation vent Ouest Sud Ouest
81,Mercredi 14 Janvier,10:00,2.1 - 3.1,\n17\n\n,Orientation vent Ouest Sud Ouest
82,Mercredi 14 Janvier,11:00,2.1 - 3.2,\n16\n\n,Orientation vent Ouest
83,Mercredi 14 Janvier,12:00,2.2 - 3.3,\n15\n\n,Orientation vent Ouest
84,Mercredi 14 Janvier,13:00,2.2 - 3.3,\n13\n\n,Orientation vent Ouest
85,Mercredi 14 Janvier,14:00,2.2 - 3.3,\n12\n\n,Orientation vent Ouest Nord Ouest
86,Mercredi 14 Janvier,15:00,2.2 - 3.3,\n13\n\n,Orientation vent Nord Ouest
87,Mercredi 14 Janvier,16:00,2.2 - 3.3,\n14\n\n,Orientation vent Nord Ouest
88,Mercredi 14 Janvier,17:00,2.2 - 3.3,\n13\n\n,Orientation vent Nord Ouest
89,Mercredi 14 Janvier,18:00,2.1 - 3.2,\n10\n\n,Orientation vent Nord Ouest
90,Mercredi 14 Janvier,19:00,2.1 - 3.2,\n10\n\n,Orientation vent Ouest Nord Ouest
91,Mercredi 14 Janvier,20:00,2.1 - 3.1,\n13\n\n,Orientation vent Ouest Nord Ouest
92,Mercredi 14 Janvier,21:00,2.0 - 3.0,\n19\n\n,Orientation vent Ouest
93,Mercredi 14 Janvier,22:00,2.0 - 3.0,\n23\n\n,Orientation vent Ouest
94,Mercredi 14 Janvier,23:00,1.9 - 2.9,\n25\n\n,Orientation vent Ouest
95,Jeudi 15 Janvier,00:00,1.9 - 2.8,\n25\n\n,Orientation vent Ouest Sud Ouest
96,Jeudi 15 Janvier,01:00,1.8 - 2.7,\n24\n\n,Orientation vent Ouest Sud Ouest
97,Jeudi 15 Janvier,02:00,1.8 - 2.6,\n23\n\n,Orientation vent Ouest Sud Ouest
98,Jeudi 15 Janvier,03:00,1.7 - 2.5,\n21\n\n,Orientation vent Ouest Sud Ouest
99,Jeudi 15 Janvier,04:00,1.6 - 2.5,\n19\n\n,Orientation vent Ouest Sud Ouest
100,Jeudi 15 Janvier,05:00,1.6 - 2.4,\n18\n\n,Orientation vent Sud Ouest
101,Jeudi 15 Janvier,06:00,1.6 - 2.3,\n19\n\n,Orientation vent Sud Ouest
102,Jeudi 15 Janvier,07:00,1.5 - 2.3,\n20\n\n,Orientation vent Sud Ouest
103,Jeudi 15 Janvier,08:00,1.5 - 2.2,\n21\n\n,Orientation vent Sud
104,Jeudi 15 Janvier,09:00,1.4 - 2.2,\n22\n\n,Orientation vent Sud Est
105,Jeudi 15 Janvier,10:00,1.4 - 2.1,\n24\n\n,Orientation vent Sud Est
